spkid,full_name,pdes,orbit_id,pha,min_orbit_intersection_dist,epoch,eccentricity,semi_major_axis,perihelion_dist,inclination,mean_anomaly,time_of_perihelion_passage,abs_magnitude
3799241,2018_CX,2018 CX,JPL 5,0,5.64,2461000.5,0.4421,1.597,0.891,9.17,289.32,2461145.16,25.2
3799245,2018_CY,2018 CY,JPL 14,0,10.2,2461000.5,0.2509,1.182,0.885,2.6,301.67,2461076.55,23.5
3799246,2018_CZ,2018 CZ,JPL 6,0,27.5,2458158.5,0.4094,1.763,1.041,13.22,350.5,2458181.07,25.1
3799253,2018_CA1,2018 CA1,JPL 3,0,7.36,2461000.5,0.1941,1.213,0.978,27.29,324.28,2461048.92,25.2
3799249,2018_CB1,2018 CB1,JPL 6,0,3.35,2458156.5,0.4797,1.688,0.878,1.48,339.41,2458202.33,25.5
3799247,2018_CC1,2018 CC1,JPL 8,0,1.16,2461000.5,0.5,1.06,0.53,2.29,347.09,2461014.79,23.5
3799248,2018_CD1,2018 CD1,JPL 10,0,35.7,2461000.5,0.5547,2.38,1.06,9.02,49.83,2460814.86,23.83
3799250,2018_CE1,2018 CE1,JPL 5,0,35.2,2461000.5,0.5901,2.518,1.032,6.81,346.45,2461055.45,21.06
3799264,2018_CQ1,2018 CQ1,JPL 10,0,86.1,2461000.5,0.5794,1.44,0.606,19.03,218.81,2461248.13,21.0
3799262,2018_CR1,2018 CR1,JPL 10,0,123.0,2461000.5,0.4941,2.146,1.086,35.92,188.11,2461548.91,20.36
3799263,2018_CS1,2018 CS1,JPL 3,0,0.599,2461000.5,0.3515,1.346,0.873,5.03,24.5,2460961.7,28.2
3799265,2018_CT1,2018 CT1,JPL 3,0,49.4,2461000.5,0.6316,1.35,0.497,18.69,307.67,2461083.78,21.93
3799266,2018_CU1,2018 CU1,JPL 31,0,43.1,2461000.5,0.5665,1.912,0.829,19.66,354.88,2461014.22,21.04
3799268,2018_CV1,2018 CV1,JPL 7,0,42.4,2461000.5,0.5678,2.481,1.072,7.07,355.88,2461016.82,23.8
3799267,2018_CW1,2018 CW1,JPL 3,0,152.0,2461000.5,0.3659,2.038,1.292,13.1,260.62,2461293.79,21.6
3799269,2018_CX1,2018 CX1,JPL 9,0,51.3,2461000.5,0.3955,0.8182,0.495,33.97,51.11,2460962.12,20.16
3799270,2018_CY1,2018 CY1,JPL 4,0,15.2,2461000.5,0.5854,2.457,1.019,5.04,9.35,2460963.97,25.7
3799272,2018_CZ1,2018 CZ1,JPL 2,0,24.3,2461000.5,0.1537,0.983,0.832,21.49,247.87,2461111.38,24.6
3799271,2018_CA2,2018 CA2,JPL 6,0,8.29,2461000.5,0.3521,1.547,1.002,9.51,7.46,2460985.94,26.1
3799273,2018_CB2,2018 CB2,JPL 4,0,6.29,2461000.5,0.3612,0.8949,0.572,22.84,336.5,2461020.68,25.0
3799277,2018_CC2,2018 CC2,JPL 2,0,28.5,2458158.5,0.4942,1.939,0.981,15.08,349.3,2458187.82,24.5
3799278,2018_CD2,2018 CD2,JPL 2,0,14.1,2458157.5,0.6733,2.276,0.743,7.48,13.86,2458109.24,24.92
3799279,2018_CE2,2018 CE2,JPL 27,0,108.0,2461000.5,0.4692,2.36,1.253,16.22,39.94,2460853.6,20.49
